Slachthuis,Haarlem,01/03/2024,met de Bouncers (uitverkocht),1
Flintys,Haarlem,05/04/2024,met Venus Hill,1
C.,Hoofddorp,12/04/2024,Popprijs voorronde (gewonnen),1
Slachthuis,Haarlem,27/04/2024,Waar een Willem is een weg fest,1
P60,Amstelveen,03/05/2024,Popprijs finale (gewonnen),1
Vondelbunker,Amsterdam,08/06/2024,met Venus Hill en Asfixia Social,1
Houtnacht,Haarlem,15/06/2024,,1
De Hout Rocks,Alkmaar,16/06/2024,,1
Oosterpark,Amsterdam,19/07/2024,,1
Patronaat,Haarlem,06/09/2024,Friday Fight Night (rust zacht Jack),1
C.,Hoofddorp,08/09/2024,Local Sounds Festival,1
Slachthuis,Haarlem,03/10/2024,met the Toasters,1
Skatecafe,Amsterdam Noord,01/11/2024,met Mauskovic Danceband en Kleine Crack,1
Grote Weiver,Wormerveer,05/01/2025,met the Shakedown 8,1
C.,Hoofddorp,14/02/2025,met de Bouncers,1
Oedipus Craftspace,Amsterdam Noord,08/03/2025,,1
Slachthuis,Haarlem,27/06/2025,met Mark Foggo (uitverkocht),1
Haltpop,Koog aan de Zaan,19/07/2025,,1
Surfana Festival,Bloemendaal aan Zee,12/09/2025,,1
Bibliotheek,Haarlem,20/09/2025,Buiten het Boekje,1
Bredius,Woerden,04/10/2025,met Familievloei,1
Grote Weiver,Wormerveer,19/10/2025,met Perestrojska en Nas Drovje,1
Studio Gonz,Gouda,19/12/2025,met Mark Foggo,1
Melkweg,Amsterdam,16/01/2026,met de Hardheid (uitverkocht),1
Patronaat,Haarlem,12/02/2026,Rob Acda Awards voorronde (gewonnen),1
Energiehuis,Dordrecht,21/02/2026,Slipperfest,1
Brouwerij Poesiat & Kater,Amsterdam,27/02/2026,Single Release,1
Patronaat,Haarlem,12/03/2026,Rob Acda Awards Finale (gewonnen),1
De Piek,Vlissingen,13/03/2026,met Mark Foggo,1
Vriendschap,'t Veld,14/03/2026,met Mark Foggo,1
C.,Hoofddorp,28/03/2026,met rukwerk,1
Antibar,Haarlem,27/04/2026,Koningsdag,1
The Minds,Amsterdam,27/04/2026,Koningsdag,1
Bevrijdingspop,Haarlem,05/05/2026,,1
EKKO,Utrecht,15/05/2026,met Strak Plan en Fietsband,1
Sniester Festival,Den Haag,23/05/2026,,1
Slachthuis,Haarlem,12/06/2026,Album Release (uitverkocht),1
Thalenpark,Drachten (Fryslân),20/06/2026,Iduna Park,1
Winsummerfest,Winsum,27/06/2026,,1
Botermarkt,Haarlem,13/08/2026,Haarlem Live,1
Stadsfabriek,Alkmaar,21/08/2026,met Strak Plan en de Kevers,1
Wilhelminapark,Tilburg,22/08/2026,Wilhelminapark Viert De Zomer,1
Mixstream festival,Heerhugowaard,30/08/2026,,1
Victorie,Alkmaar,03/09/2026,Met Apeshit en de Kevers,1
C.,Hoofddorp,03/10/2026,met de Stokers,1
Studio Gonz,Gouda,10/10/2026,Gouds SKAasfestival,1
P3,Purmerend,29/01/2027,Met the Upsessions,1
Patronaat,Haarlem,19/02/2027,met de Hardheid,1
Dynamo,Eindhoven,20/02/2027,met de Hardheid,1
Broekfest,Broekland,05/09/2026,,1
Skatecafe,Amsterdam Noord,16/10/2026,Met the Phantom Four en Valeria y la Banda del Barrio,0
Zwarte Ruiter,Den Haag,05/12/2026,,0
Burgerweeshuis,Deventer,27/12/2026,Met de Stokers,0
Paradiso,Amsterdam,02/01/2027,Indiestad Nieuwjaarsborrel,0
Paaspop,Schijndel,26/03/2027,,0
EM2,Groningen,17/04/2027,Met de Stokers,0
Manifesto,Hoorn,30/04/2027,Ska in Hoorn,0
Sompop,De Waal (Texel),03/07/2027,,0
Hedon,Zwolle,10/04/2027,Skroetfest,0
